job title,location,company name,job experience
Technical Sales Engineer - Alex & North Cost Area,"Alexandria, Egypt",Unimix Egypt for Readymix concrete -,"Full Time
On-site
Entry Level · 1 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · Sales/Retail ·
Engineering
· Construction
· Technical Sales
· Sales
· Sales Skills
· Sales Target
·
Sales Engineering
· Readymix"
iOS Mobile Developer,"Mansoura, Dakahlia, Egypt",qTech. -,"Full Time
On-site
Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Software Development
· Objective-C
· Java
· OpenGL
· Mobile Development
· Computer Science
·
Computer Engineering
·
Software Engineering"
Planning Engineer/Construction,"New Cairo, Cairo, Egypt",Confidential -,"Full Time
On-site
Experienced · 1 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture
· Architecture
· Construction
·
Engineering
·
Planning Engineer"
Data Scientists Team Lead,"Sheraton, Cairo, Egypt",Smart Vision Technologies -,"Full Time
Hybrid
Manager · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology ·
Data Science
·
Data Analysis
· Analytics
· Computer Science
· Information Technology (IT)
· SQL
· Agile"
Technical Sales Engineer,"Nasr City, Cairo, Egypt",Unimix Egypt for Readymix concrete -,"Full Time
On-site
Entry Level · 1 - 3 Yrs of Exp · Engineering - Construction/Civil/Architecture · Sales/Retail ·
Engineering
· Construction
· Technical Sales
· Sales
· Sales Skills
· Sales Target
·
Sales Engineering
· Readymix"
IOT Process optimization consultant / 6 Months contract,"6th of October, Giza, Egypt",Efada Technology -,"Part Time
Freelance / Project
Hybrid
Experienced · 5 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Hospitality/Hotels/Food Services · IT/Software Development ·
Data Science
· phd
· operations reasearch
· Customer Operations Performance Centre
· Research
· MBA
·
Software Engineering"
Informatica Power Center Professional,"Cairo, Egypt",Efada Technology -,"Full Time
On-site
Experienced · 2 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology ·
Engineering
· ETL
· Informatica
· Power Center
· Management
·
electrical power engineering
·
data quality
·
data integration"
Senior Technical Sales Engineer,"Cairo, Egypt",Asfour Crystal -,"Full Time
On-site
Experienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Sales/Retail · Engineering - Mechanical/Electrical
· Communication
· Sales Target
·
Engineering
· Customer Service
· Business Administration"
Mechanical Drawing Engineer - COTHERM TOR Egypt,"10th of Ramadan City, Sharqia, Egypt",Groupe- Atlantic -,"Internship
On-site
Entry Level · Engineering - Mechanical/Electrical
· AutoCAD
·
Engineering
·
Mechanical Engineering"
Senior Software Engineer.,"Obour City, Cairo, Egypt",COB Solution -,"Full Time
Hybrid
Experienced · 4 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Computer Science
· Angular
· Git
· Java
·
Software Engineering
· Programming
· Software Development
· MVC"
Pre Sales Engineer,"Nozha, Cairo, Egypt",Injaz Tech for advanced systems -,"Full Time
On-site
Experienced · 1 - 3 Yrs of Exp · Engineering - Mechanical/Electrical · Engineering - Other
· CCTV
· AutoCAD
·
Electrical Engineering
· Communication"
Light Current Site Engineer,"Maadi, Cairo, Egypt",Confidential -,"Full Time
On-site
Experienced · 2 - 5 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Telecom/Technology
· Information technology
· CCTV
· Light Current
· Networking
·
Engineering
· IT
· technical
·
Data"
mechanical engineering,"Suez, Egypt",Jushi Egypt for fiberglass industry S.A.E -,"Full Time
On-site
Experienced · 1 - 5 Yrs of Exp · Engineering - Mechanical/Electrical · Engineering - Other ·
Mechanical Engineering
·
Engineering
· Production"
Mechanical Procurement Engineer,"New Cairo, Cairo, Egypt",ATS -,"Full Time
On-site
Entry Level · 1 - 3 Yrs of Exp · Engineering - Mechanical/Electrical ·
Engineering
·
procurement engineer
· Construction"
Planning Engineer,"Minya, Egypt",Sea Port for Trading and Engineering -,"Full Time
On-site
Experienced · 2 - 4 Yrs of Exp · males_only · Engineering - Construction/Civil/Architecture · Project/Program Management ·
Engineering
· Planning
· Communication skills
· Microsoft Project
·
Civil Engineering"
Electrical Engineer,"New Cairo, Cairo, Egypt",Contracting and housing company -,"Full Time
On-site
Experienced · 5 - 10 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical · Engineering - Other ·
Electrical Engineer
·
Electrical Engineering
· Electrical"
Survey Engineer,"Cairo, Egypt",NEW JERSEY Developments -,"Full Time
On-site
Experienced · 4 - 6 Yrs of Exp · males_only · Engineering - Construction/Civil/Architecture · Engineering - Other ·
Engineering
· GIS
· 3D
·
Civil Engineering
· Quantity Surveying"
Alteration Engineer,"Cairo, Egypt",Talaat Moustafa Group -,"Full Time
On-site
Experienced · 1 - 2 Yrs of Exp · Engineering - Construction/Civil/Architecture ·
Alteration, Engineering
·
Engineering Field"
Mechanical Engineer,"Sheraton, Cairo, Egypt",EG Master -,"Full Time
On-site
Experienced · 8 - 10 Yrs of Exp · Engineering - Mechanical/Electrical
· Design
· HAP
· shop drawing
·
Mechanical Engineering
· AutoCAD"
Senior Facility Tendering and Estimation Engineer,"Sheikh Zayed, Giza, Egypt",Leeds -,"Full Time
On-site
Experienced · 3 - 5 Yrs of Exp · Engineering - Mechanical/Electrical ·
Mechanical Engineering
·
Electrical Engineering
· AutoCAD
· MEP
· MS Office
· Mechanical
· Tendering
· Electrical
·
Engineering"
Mechanical Engineer,"New Cairo, Cairo, Egypt",Contracting and housing company -,"Full Time
On-site
Experienced · 5 - 10 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Engineering - Other ·
Engineering
·
Electrical Engineering
·
Mechanical Engineering"
Junior Geomatics Engineer,"Heliopolis, Cairo, Egypt",Micro Engineering -,"Full Time
Shift Based
On-site
Entry Level · 0 - 1 Yrs of Exp · Engineering - Other
· AutoCAD
· Geomatics
· English
·
Engineering"
Sales Engineer,"6th of October, Giza, Egypt",Al-Khail Industries & Trading -,"Full Time
On-site
Experienced · 3+ Yrs of Exp · males_only · Business Development · Sales/Retail · Engineering - Mechanical/Electrical ·
Engineering
·
Sales engineer
· sales skills
· Sales Target
· Sales"
Production Engineer,"10th of Ramadan City, Cairo, Egypt",FUTEC -,"Full Time
On-site
Experienced · 2 - 3 Yrs of Exp · Manufacturing/Production · Engineering - Other
· Production
·
Engineering
·
Production Engineering
· Manufacturing"
Power Mechanical Engineer,"Quweisna, Monufya, Egypt",PIELCOLOR -,"Full Time
On-site
Experienced · 2 - 5 Yrs of Exp · males_preferred · Installation/Maintenance/Repair · Sales/Retail · Engineering - Mechanical/Electrical
· Compressors
·
Electrical Engineering
·
Engineering
·
Mechanical Engineering
· Pumps
· English
· generators"
Requirements and Configuration Engineer,"6th of October, Giza, Egypt",COLAS RAIL Egypt -,"Full Time
On-site
Experienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture ·
engineer
·
Engineering"
ELECTRICAL MAINTENANACE ENGINEER,"Menia, Minya, Egypt",Asfour Crystal -,"Full Time
On-site
Experienced · 3 - 4 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical ·
Engineering
·
Electrical Engineering
· Electrical
· Mechatronics
·
Mechanical Engineering
·
Mechatronics Engineering
· English"
Junior Maintenance Engineer ( Benisuef ),"Wosta, Beni Suef, Egypt",Elaraby Group -,"Full Time
On-site
Entry Level · 1 - 2 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Engineering - Other ·
engineer
·
Engineering
· Maintenance
·
Maintenance Engineer
·
Electrical Engineering
· junior"
Pre-Sales Fire Protection Systems Engineer (Focus: Fire Pumps),"Nasr City, Cairo, Egypt",Yama Engineering System -,"Full Time
On-site
Experienced · 3 - 7 Yrs of Exp · Sales/Retail · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical ·
Electrical Engineering
· Fire Protection Systems
· Fire Protection
· Nfpa
· Sales
· sales skills
· Sales Field"
Junior R&D Engineer,"6th of October, Giza, Egypt",Pro Light Egypt -,"Full Time
Hybrid
Entry Level · 1 - 3 Yrs of Exp · R&D/Science · Engineering - Mechanical/Electrical
· Electronics
·
Engineering
· PCB
· PCB Design"
Agricultural Engineer,"Maghaghah, Minya, Egypt",Confidential -,"Full Time
Part Time
On-site
Experienced · 3 - 20 Yrs of Exp · Manufacturing/Production
· Agriculture
· Agricultural
·
Agricultural Engineering
·
Agricultural Engineer"
IT Application Development and Support Engineer,"Sheikh Zayed, Giza, Egypt",Confidential -,"Full Time
On-site
Experienced · 2 - 3 Yrs of Exp · males_only · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology ·
software support engineer
· Application Development
· Software Development
· ERP Applications
· powerschool
· Odoo ERP
· Odoo Development"
Mechanical Maintenance Engineer,"Ain Sokhna, Suez, Egypt",Confidential -,"Full Time
On-site
Experienced · 5 - 8 Yrs of Exp · Installation/Maintenance/Repair · Manufacturing/Production · Engineering - Mechanical/Electrical ·
Engineering
· Industry
· Factories
·
Maintenance Engineer
· Manufacturing
·
Mechanical Engineering
· Maintenance"
Electrical Sales Engineer - Dokki,"Dokki, Giza, Egypt",MAS for Engineering and Trading Co. -,"Full Time
On-site
Entry Level · 0 - 4 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical ·
Electrical Engineering
· Communication
· Sales
· technical"
Electrical Sales Engineer - 10th Of Ramadan,"10th of Ramadan City, Sharqia, Egypt",MAS for Engineering and Trading Co. -,"Full Time
On-site
Entry Level · 0 - 4 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical ·
Electrical Engineering
· Communication
· Sales
· technical"
