job title,location,company name,job experience
Senior/Sales Engineer,"Cairo, Egypt",Fine Tech -,"Full Time
On-site
Experienced · 1+ Yrs of Exp · Business Development · Sales/Retail · Engineering - Mechanical/Electrical
· Sales Field
· Outdoor Sales
·
Engineering
·
Mechanical Engineering
·
Mechanical Engineering and plumbing (MEP)
· Sales Planning
· Business Administration"
Fully Remote Data Entry Associate – Part Time,"Riyadh, Saudi Arabia",FIAS - Finnish International Accounting Services -,"Full Time
Not specified · Marketing/PR/Advertising · Analyst/Research · Sales/Retail ·
engineering
· marketing
· sales
· accounting
· microsoft office
· communication skills
· computer"
"Senior Service Operations Owner, Market Data Services","Dubai, United Arab Emirates",Exegy -,"Full Time
Senior Management · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology
· sales
· sales skills
· information technology (it)
· customer service
· computer science
· customer support
·
engineering"
Entry Level Data Entry Clerk - Work From Home,"Riyadh, Saudi Arabia",Number 29 Consultancy -,"Full Time
Not specified · Administration · Customer Service/Support · Writing/Editorial ·
Data Entry
· Administration
· Microsoft Office
· Admin
· Typing
· Customer Service
· Microsoft Excel"
Fully Remote Data Entry Associate – Part Time,"Dubai, United Arab Emirates",Let's Help Now -,"Full Time
Not specified · Marketing/PR/Advertising · Analyst/Research · Sales/Retail ·
engineering
· marketing
· sales
· accounting
· microsoft office
· communication skills
· computer"
Junior R&D Engineer,"10th of Ramadan City, Cairo, Egypt",3Brothers -,"Full Time
On-site
Entry Level · 0 - 2 Yrs of Exp · R&D/Science · Engineering - Mechanical/Electrical
· CAD
· Development
· Electronics
·
Engineering
·
Mechanical Engineering
· R&D
· product design
· Design"
Fully Remote Data Entry Role – Part Time,"Riyadh, Saudi Arabia",www.inktvoormijnprinter.nl -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· project management
· software
· microsoft office
· management"
Fully Remote Data Entry Associate – Part Time,"Riyadh, Saudi Arabia",NovaTouch B.V. -,"Full Time
Not specified · Marketing/PR/Advertising · Analyst/Research · Sales/Retail ·
engineering
· marketing
· sales
· accounting
· microsoft office
· communication skills
· computer"
Junior Product Development Engineer,"Cairo, Egypt",3Brothers -,"Full Time
On-site
Entry Level · 0 - 2 Yrs of Exp · Creative/Design/Art · Engineering - Mechanical/Electrical
· Design
· Development
·
Electrical Engineering
·
Engineering
· English
· zemax
· r&d
· Product"
Entry Level - Remote Data Entry Representatives,"Dubai, United Arab Emirates",Zonnig Inzicht -,"Full Time
Not specified · R&D/Science · Engineering - Oil & Gas/Energy · Engineering - Other ·
Engineering
· Science
· Administration
· LWD
· entry level
· Chemistry
· Communication Skills"
Fully Remote Data Entry Role – Part Time,"Riyadh, Saudi Arabia",BVZ -Unabhängige Versicherungs-Vermittlungs-GmbH- -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· project management
· software
· microsoft office
· management"
Fully Remote Data Entry Role – Part Time,"Riyadh, Saudi Arabia",Zeeonix -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· project management
· software
· microsoft office
· management"
IT System Engineer,"Mohandessin, Giza, Egypt",Nahdet Misr Publishing Group -,"Full Time
On-site
Experienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development
· computer
· Information Technology (IT)
· Microsoft
· Science
· MCSE"
Civil Site Engineer,"Giza, Egypt",Mobica -,"Full Time
On-site
Experienced · 5 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Engineering - Other ·
Civil Engineering
· Civil
· Construction
·
Engineering
· Project Management"
Part Time/Full Time Remote Data Entry Clerk,"Dubai, United Arab Emirates","MAN, Technology, Environment -","Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· python
·
data entry
· microsoft office
· operations"
Entry Level Data Entry Clerk - Work From Home,"Dubai, United Arab Emirates",Wind Energy Hosting -,"Full Time
Not specified · Administration · Customer Service/Support · Writing/Editorial ·
Data Entry
· Administration
· Microsoft Office
· Admin
· Typing
· Customer Service
· Microsoft Excel"
Remote - Data Entry Jobs (Part/Full Time),"Riyadh, Saudi Arabia",S3WM :: web media + design -,"Full Time
Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
· Software Development
·
Engineering
· Installation
·
Software Engineering
·
Computer Engineering"
Fully Remote Data Entry Role – Part Time,"Riyadh, Saudi Arabia",Universal Donations -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· project management
· software
· microsoft office
· management"
Entry Level Data Entry Assistant - Work From Home,"Riyadh, Saudi Arabia","MAN, Technology, Environment -","Full Time
Not specified · Administration · Customer Service/Support · Writing/Editorial ·
Data Entry
· Administration
· Microsoft Office
· Admin
· Typing
· Customer Service
· Microsoft Excel"
Entry Level Data Entry Assistant - Work From Home,"Dubai, United Arab Emirates","MAN, Technology, Environment -","Full Time
Not specified · Administration · Customer Service/Support · Writing/Editorial ·
Data Entry
· Administration
· Microsoft Office
· Admin
· Typing
· Customer Service
· Microsoft Excel"
Project Engineer,"Alsadat City, Monufya, Egypt",Dakahlia Group -,"Full Time
On-site
Experienced · 5 - 8 Yrs of Exp · Project/Program Management ·
Mechanical Engineering
·
Engineering
· Project
· Projects
· Project Management"
Fully Remote Data Entry Role – Part Time,"Dubai, United Arab Emirates",MAREOKA.COM -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· project management
· software
· microsoft office
· management"
Remote - Data Entry Jobs (Part/Full Time),"Riyadh, Saudi Arabia",R H Art -,"Full Time
Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
· Software Development
·
Engineering
· Installation
·
Software Engineering
·
Computer Engineering"
Fully Remote Data Entry Role – Part Time,"Riyadh, Saudi Arabia",Nederlandse WingTsun Organisatie -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· project management
· management
·
data entry
· communication skills"
Fully Remote Data Entry Role – Part Time,"Riyadh, Saudi Arabia",Immorphosis architecture -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· project management
· software
· microsoft office
· management"
Remote Role (Data Entry Work From Home),"Dubai, United Arab Emirates",qpmedia -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
·
electrical engineering
· software
· microsoft office
· management"
Data Entry Clerk/Entry Level (Remote),"Riyadh, Saudi Arabia",Green Energy Shop -,"Full Time
Not specified · Administration · Customer Service/Support · Writing/Editorial ·
Data Entry
· Administration
· Microsoft Office
· Admin
· Typing
· Customer Service
· Microsoft Excel"
Data Entry Clerk-Part Time-Remote,"Riyadh, Saudi Arabia",Zonnig Inzicht -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
· customer service
·
computer engineering
· microsoft office
·
data entry
· communication skills"
Entry level/Data Entry Clerk (Remote),"Riyadh, Saudi Arabia",Zonnig Inzicht -,"Full Time
Not specified · Administration · Customer Service/Support · Writing/Editorial ·
Data Entry
· Administration
· Microsoft Office
· Admin
· Typing
· Customer Service
· Microsoft Excel"
Fully Remote Data Entry Role – Part Time,"Riyadh, Saudi Arabia",World Domination Online Interactive Media Entertainment Studio -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· project management
· software
· microsoft office
· management"
Engineering Manager,"Sheikh Zayed, Giza, Egypt",Seoudi Supermarket -,"Full Time
On-site
Senior Management · 15 - 20 Yrs of Exp · Engineering - Construction/Civil/Architecture · Project/Program Management · Engineering - Mechanical/Electrical
· Maintenance
· Project Management
· Retail
·
Engineering
· PMP
· Facility Management
·
Facilities Engineering"
Part-Time/Full-Time Remote Work For Data Entry,"Riyadh, Saudi Arabia",Dapco Video -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· information technology (it)
· computer science
·
computer engineering
· html
·
data entry
· communication skills
· management"
Data Entry Clerk-Part Time-Remote,"Riyadh, Saudi Arabia",Theaterbrigade -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
· customer service
·
computer engineering
· microsoft office
·
data entry
· communication skills"
Remote - Data Entry Jobs (Part/Full Time),"Riyadh, Saudi Arabia","Quivelz Import & Export, LLC -","Full Time
Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
· Software Development
·
Engineering
· Installation
·
Software Engineering
·
Computer Engineering"
Senior Projects Sales Engineer,"Cairo, Egypt",Terra Egypt -,"Full Time
Hybrid
Experienced · 7 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Project/Program Management · Sales/Retail
· Building Materials
· Outdoor Sales
·
Sales Engineering
· Lead Generation
· Negotiation
· Presentation Skills
· Project Management"
Remote - Data Entry Jobs (Part/Full Time),"Riyadh, Saudi Arabia",Founder Tunnel Network -,"Full Time
Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
· Software Development
·
Engineering
· Installation
·
Software Engineering
·
Computer Engineering"
Architecture Engineer,"Sheikh Zayed, Giza, Egypt",Seoudi Supermarket -,"Full Time
On-site
Entry Level · 1 - 3 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Other
· Architecture
· AutoCAD
· HVAC
· Communication
· Communication skills
·
Engineering
· Skills"
Fully Remote Data Entry Role – Part Time,"Riyadh, Saudi Arabia",SELLUTION.CO.UK -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· project management
· software
· microsoft office
· management"
Senior Power BI Developer,"Nasr City, Cairo, Egypt",Tafeel -,"Full Time
On-site
Experienced · 5 - 10 Yrs of Exp · Business Development · Installation/Maintenance/Repair · IT/Software Development
· BI
· Computer Science
·
Data Warehouse
·
Engineering
· ETL
· Information Technology (IT)
· Microsoft Power BI"
Technical Support / Application Support Engineer,"New Cairo, Cairo, Egypt",eVision -,"Full Time
On-site
Entry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Computer Science
· SQL
· Oracle
· Microsoft SQL
· Networking
· Application Security
·
Computer Engineering
· Technical Support"
Software Engineering Manager,"Giza, Egypt",Nacita -,"Full Time
Hybrid
Manager · 7 - 15 Yrs of Exp · males_only · IT/Software Development
· DevOps
· Computer Science
· Information Technology (IT)
· Kubernetes
· NodeJS
· Software
· Software Development
·
Engineering
· computer"
Part Time/Full Time - Remote Data Entry Clerk,"Riyadh, Saudi Arabia","MAN, Technology, Environment -","Full Time
Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
· Sales
· Customer Service
· Customer Care
· Customer Support
· Education"
Online Data Entry-Remote,"Riyadh, Saudi Arabia",Chix and Mortar -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· information technology (it)
· computer science
·
computer engineering
·
electrical engineering
·
data entry
· microsoft office
· social media"
Fully Remote Data Entry Role – Part Time,"Riyadh, Saudi Arabia",Lost Notebook -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· project management
· software
· microsoft office
· management"
Entry Level Data Entry Clerk - Remote Jobs,"Riyadh, Saudi Arabia",Pro Player Baseball Instruction -,"Full Time
Not specified · Administration · Customer Service/Support · Writing/Editorial ·
Data Entry
· Administration
· Microsoft Office
· Admin
· Typing
· Customer Service
· Microsoft Excel"
Data Entry Clerk/Entry Level (Remote),"Riyadh, Saudi Arabia",Chix and Mortar -,"Full Time
Not specified · Administration · Customer Service/Support · Writing/Editorial ·
Data Entry
· Administration
· Microsoft Office
· Admin
· Typing
· Customer Service
· Microsoft Excel"
Design Engineer,"Zamalek, Cairo, Egypt",KIER CONSTRUCTION LIMITED -,"Full Time
Remote
Entry Level · 1 - 7 Yrs of Exp · Creative/Design/Art · Engineering - Mechanical/Electrical · Engineering - Other ·
Engineering
·
Mechanical Engineering
·
design engineer
· Mechanical
· CAD"
Part-Time Remote Data Entry Clerk,"Dubai, United Arab Emirates",Jinga BV -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
· customer service
·
computer engineering
· microsoft office
·
data entry
· communication skills"
Remote Full-Time Data Entry Clerk,"Riyadh, Saudi Arabia",Jinga BV -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· information technology (it)
· computer science
·
computer engineering
·
electrical engineering
· microsoft office
·
data entry
· software"
Fully Remote Data Entry Role – Part Time,"Riyadh, Saudi Arabia",Vosill Ltd -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· project management
· software
· microsoft office
· management"
electric site/ technical engineer,"Maadi, Cairo, Egypt",Elmallah for Engineering and contracting company -,"Full Time
On-site
Experienced · 5 - 15 Yrs of Exp · Engineering - Mechanical/Electrical
· Electric
·
Technical engineer
· Site
· Electrical
· AutoCAD
·
Electrical Engineer
· TO
· Technical Office
·
Engineering"
Fully Remote Data Entry Role – Part Time,"Riyadh, Saudi Arabia",CanadaCubaRunners -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· project management
· software
· microsoft office
· management"
Virtual Data Entry Clerk: Remote Opportunity,"Riyadh, Saudi Arabia",Nederlandse WingTsun Organisatie -,"Full Time
Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology
· information technology (it)
· computer science
· computer skills
·
engineering
· communication skills
·
data entry
· analysis"
Remote - Data Entry Jobs (Part/Full Time),"Riyadh, Saudi Arabia",SELLUTION.CO.UK -,"Full Time
Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
· Software Development
·
Engineering
· Installation
·
Software Engineering
·
Computer Engineering"
Full-Time/Part-Time Remote Data Entry Clerk,"Riyadh, Saudi Arabia",Coffee News of Durham-RTP and Morrisville -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· python
·
data entry
· microsoft office
· communication skills"
Part-Time Remote Data Entry Position,"Riyadh, Saudi Arabia",Coffee News of Durham-RTP and Morrisville -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· information technology (it)
· computer science
· customer service
·
computer engineering
· microsoft office
·
data entry
· software"
Work From Home - Data Entry Clerk,"Dubai, United Arab Emirates",Number 29 Consultancy -,"Full Time
Not specified · Creative/Design/Art · Customer Service/Support · Sales/Retail
· Customer Service
· English
· Customer Care
· Customer Support
· Call Center
· Marketing
· Startup"
Remote - Data Entry Jobs (Part/Full Time),"Riyadh, Saudi Arabia",especiallycreams.com -,"Full Time
Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
· Software Development
·
Engineering
· Installation
·
Software Engineering
·
Computer Engineering"
Fully Remote Data Entry Role – Part Time,"Riyadh, Saudi Arabia",gasmGIRL -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· project management
· software
· microsoft office
· management"
Remote - Data Entry Jobs (Part/Full Time),"Dubai, United Arab Emirates",HgBoxing -,"Full Time
Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
· Software Development
·
Engineering
· Installation
·
Software Engineering
·
Computer Engineering"
Fully Remote Data Entry Role – Part Time,"Riyadh, Saudi Arabia",The Sensitive Epicure -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· project management
· software
· microsoft office
· management"
Data Analyst,"Riyadh, Saudi Arabia",Truelancer.com -,"Full Time
Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology ·
Data Analysis
· Analysis
· Computer Science
· Information Technology (IT)
· SQL
· Microsoft Office
· Microsoft Excel"
Data Analyst-,"Dubai, United Arab Emirates",PayTech Group -,"Full Time
Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology ·
Data Analysis
· Analysis
· Computer Science
· Information Technology (IT)
· SQL
· Microsoft Office
· Microsoft Excel"
Remote - Data Entry Jobs (Part/Full Time),"Riyadh, Saudi Arabia",Silver Champion d.o.o. Sarajevo -,"Full Time
Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
· Software Development
·
Engineering
· Installation
·
Software Engineering
·
Computer Engineering"
Data Entry Role – Fully Remote,"Riyadh, Saudi Arabia",Nederlandse WingTsun Organisatie -,"Full Time
Not specified · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology
· computer science
· information technology (it)
·
computer engineering
· customer service
· management
·
data entry
· communication skills"
Remote - Data Entry Jobs (Part/Full Time),"Riyadh, Saudi Arabia",AllWebsites.be -,"Full Time
Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
· Software Development
·
Engineering
· Installation
·
Software Engineering
·
Computer Engineering"
"Technical Office Engineer (Civil, Architecture, Mechanical & Electrical)","Alexandria, Egypt",ELmohandes for construction and mechanic -,"Full Time
On-site
Experienced · 5 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical
· Mechanical
·
Electrical Engineering
· Architecture
· Civil"
Remote - Data Entry Jobs (Part/Full Time),"Riyadh, Saudi Arabia",The Sensitive Epicure -,"Full Time
Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
· Software Development
·
Engineering
· Installation
·
Software Engineering
·
Computer Engineering"
Technical Office architecture engineering,"New Cairo, Cairo, Egypt",Standzone -,"Full Time
On-site
Experienced · 2 - 4 Yrs of Exp · males_only · Engineering - Construction/Civil/Architecture
· 3D
· Architecture
·
Architecture Engineering
· AutoCAD
· Construction
·
Engineering
· Revit
· Site
· Sketchup"
Remote - Data Entry Jobs (Part/Full Time),"Riyadh, Saudi Arabia",I-Move Institute (Life Coaching Organization) -,"Full Time
Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
· Software Development
·
Engineering
· Installation
·
Software Engineering
·
Computer Engineering"
"Deputy Manager, Hosting and Data Security","Kuwait City, Kuwait",ALSAYER Holding -,"Full Time
Experienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· information technology (it)
· computer science
·
engineering
· software development
· english
· management
· security"
Entry-Level Data Entry Clerk (Work From Home),"Riyadh, Saudi Arabia",Nederlandse WingTsun Organisatie -,"Full Time
Not specified · Administration · Customer Service/Support · Writing/Editorial ·
Data Entry
· Administration
· Microsoft Office
· Admin
· Typing
· Customer Service
· Microsoft Excel"
Mechanical Maintenance Engineer,"Alexandria, Egypt",Confidential -,"Full Time
On-site
Experienced · 2 - 5 Yrs of Exp · Installation/Maintenance/Repair · Manufacturing/Production · Engineering - Mechanical/Electrical ·
Electrical Engineering
· AutoCAD
· Maintenance
· Manufacturing
· Mechanical
·
Mechanical Engineering
·
Engineering"
Fully Remote Data Entry Role – Part Time,"Riyadh, Saudi Arabia",AppraiseNet REO -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· project management
· maintenance
· microsoft office
· management"
Data Scientist,"Riyadh, Saudi Arabia",Foreground. -,"Full Time
Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology
· Python
· Computer Science
· Information Technology (IT)
· SQL
·
Data Science
·
Data Scientist
· Machine Learning"
Remote - Data Entry Jobs (Part/Full Time),"Riyadh, Saudi Arabia",Portland Flag Football -,"Full Time
Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
· Software Development
·
Engineering
· Installation
·
Software Engineering
·
Computer Engineering"
Entry level/Data Entry Clerk (Remote),"Dubai, United Arab Emirates",Beeldwerk collective studio 127 -,"Full Time
Not specified · Administration · Customer Service/Support · Writing/Editorial ·
Data Entry
· Administration
· Microsoft Office
· Admin
· Typing
· Customer Service
· Microsoft Excel"
Senior Electrical Machines Process Engineer,"10th of Ramadan City, Sharqia, Egypt",LinkMisr -,"Full Time
On-site
Experienced · 4 - 7 Yrs of Exp · males_only · Installation/Maintenance/Repair · Manufacturing/Production · Engineering - Mechanical/Electrical
· Manufacturing Process
· Product Development
· Lean manufacturing
· Production Process
· process automation
·
Maintenance Engineering"
Procurement Engineer,"New Cairo, Cairo, Egypt",Magaz -,"Full Time
On-site
Experienced · 4 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture
· Construction
·
Engineering
· Procurements
· Procurement Management
· Tendering
·
Engineering Services
· Interior Finishing
· fitouts"
Senior Mechanical Machines Process Engineer,"Sharqia, Egypt",LinkMisr -,"Full Time
On-site
Experienced · 4 - 7 Yrs of Exp · males_only · Installation/Maintenance/Repair · Manufacturing/Production · Engineering - Mechanical/Electrical ·
Electrical Engineering
· Maintenance
·
Engineering
·
Mechanical Engineering
· Manufacturing Process"
"BIM Section Head Engineer - ""Mechanical Infrastructure / Mechanical""","Mahta Alraml, Alexandria, Egypt",REDCON Construction Co. S.A.E -,"Full Time
On-site
Experienced · 8 - 13 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical ·
Engineering
·
Mechanical Engineering
· Revit
·
Technical Office Engineering
· BIM"
Entry-Level Data Entry Clerk (Work From Home),"Dubai, United Arab Emirates",Coffee News of Durham-RTP and Morrisville -,"Full Time
Not specified · Administration · Customer Service/Support · Writing/Editorial ·
Data Entry
· Administration
· Microsoft Office
· Admin
· Typing
· Customer Service
· Microsoft Excel"
Virtual Data Quality Controller,"Kuwait City, Kuwait",TalentFusion Solutions -,"Full Time
Experienced · IT/Software Development · Quality · Engineering - Telecom/Technology
· information technology (it)
· computer science
· quality control
·
engineering
· quality
· microsoft office
· software"
Part Time/Full Time Remote Data Entry Clerk,"Riyadh, Saudi Arabia",Coffee News of Durham-RTP and Morrisville -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· computer science
· information technology (it)
·
computer engineering
· python
·
data entry
· microsoft office
· operations"
Planning Engineer,"Heliopolis, Cairo, Egypt",Infracon -,"Full Time
On-site
Experienced · 5 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture ·
Construction Engineering
· Construction Field
· Construction Management
· Construction Project Management
· Planning
· Analysis
·
Civil Engineering
· Communication
· Construction"
Remote - Data Entry Jobs (Part/Full Time),"Riyadh, Saudi Arabia",Razolv -,"Full Time
Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
· Software Development
·
Engineering
· Installation
·
Software Engineering
·
Computer Engineering"
Entry Level Data Entry Assistant - Work From Home,"Riyadh, Saudi Arabia",Green Energy Shop -,"Full Time
Not specified · Administration · Customer Service/Support · Writing/Editorial ·
Data Entry
· Administration
· Microsoft Office
· Admin
· Typing
· Customer Service
· Microsoft Excel"
Quality Engineer - Sharqia,"Belbes, Sharqia, Egypt",Confidential -,"Full Time
On-site
Entry Level · 1 - 3 Yrs of Exp · Quality · Engineering - Mechanical/Electrical ·
Engineering
·
Quality Engineering
· Quality Control
· Quality Assurance
· QA
· QC
·
Mechanical Engineering
· Mechanical"
Online Data Entry-Remote,"Riyadh, Saudi Arabia",Charlotte PA -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· information technology (it)
· computer science
·
computer engineering
·
electrical engineering
·
data entry
· microsoft office
· management"
Electrical Engineer,"Alexandria, Egypt",Tabarak -,"Full Time
On-site
Experienced · 5 - 10 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical
· Communication
· Electrical
· Low Voltage
·
Electrical Engineering
· Design
·
Engineering"
Data Entry Clerk/Entry Level (Remote),"Dubai, United Arab Emirates",Charlotte PA -,"Full Time
Not specified · Administration · Customer Service/Support · Writing/Editorial ·
Data Entry
· Administration
· Microsoft Office
· Admin
· Typing
· Customer Service
· Microsoft Excel"
Mechanical Technical Office Engineer,"Nasr City, Cairo, Egypt",Teba United -,"Full Time
On-site
Experienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical
· AutoCAD
· Communication skills"
Electrical Maintenance Engineer,"Gharbia, Egypt",Confidential -,"Full Time
On-site
Experienced · 5 - 7 Yrs of Exp · Engineering - Mechanical/Electrical
· Electrical
· Maintenance
·
Electrical Engineering
· Electrical power
·
electrical power engineering
·
Power Engineering"
Senior Warranty Engineer,"Katameya, Cairo, Egypt",Elsaba AutoService -,"Full Time
On-site
Experienced · 3 - 5 Yrs of Exp · Engineering - Mechanical/Electrical
· Warranty
·
Mechanical Engineering
·
Engineering
· Analysis
·
Warranty Engineering
· Automative
· Computer Skills
· Mechanical"
VDS Data Specialist Middle East (m/f/d),"Dubai, United Arab Emirates",TecAlliance -,"Full Time
Entry Level · IT/Software Development · Marketing/PR/Advertising · Media/Journalism/Publishing
· marketing
· information technology (it)
· computer science
· sales
·
engineering
· english
· sql"
Senior Site Architectural Engineer,"Nasr City, Cairo, Egypt",Teba United -,"Full Time
On-site
Experienced · 3 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture · Creative/Design/Art · Engineering - Other
· Architecture
· AutoCAD
· Civil
· Site
·
Civil Engineering"
Remote - Data Entry Jobs (Part/Full Time),"Riyadh, Saudi Arabia",BVZ -Unabhängige Versicherungs-Vermittlungs-GmbH- -,"Full Time
Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
· Software Development
·
Engineering
· Installation
·
Software Engineering
·
Computer Engineering"
Data Entry Assistant – Fully Remote Role,"Dubai, United Arab Emirates","MAN, Technology, Environment -","Full Time
Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· computer science
· information technology (it)
· customer service
·
engineering
· management
·
data entry
· communication skills"
Part-Time Remote Data Entry Position,"Dubai, United Arab Emirates",Green Energy Shop -,"Full Time
Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· information technology (it)
· computer science
· customer service
·
computer engineering
· microsoft office
·
data entry
· software"
